epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.9583,1.34267,2.95723,0.93026,0.00321,0.13657,0.0813,0.04027,1.08492,3.13008,0.86298,0.07822,0.00022,0.00022
2,28.4959,0.88059,1.67734,0.84454,0.02422,0.42186,0.17649,0.129,0.82933,3.10192,0.82777,0.0554411,0.00044109,0.00044109
3,39.7036,0.86304,1.42721,0.84221,0.03021,0.60807,0.22588,0.17088,0.79983,2.52855,0.83009,0.0326531,0.000653072,0.000653072
4,50.9929,0.76918,1.20898,0.83199,0.7461,0.18621,0.28807,0.2262,0.72775,1.97673,0.82247,0.00985595,0.000855946,0.000855946
5,61.8983,0.75928,1.1425,0.82704,0.49992,0.27071,0.35063,0.28117,0.68744,1.40157,0.81857,0.0009208,0.0009208,0.0009208
6,72.6965,0.72478,1.02707,0.82521,0.57374,0.39206,0.44206,0.3596,0.63629,0.98978,0.81219,0.000901,0.000901,0.000901
7,84.1456,0.68221,0.9628,0.81714,0.65637,0.54245,0.51867,0.43114,0.59465,0.88006,0.81282,0.0008812,0.0008812,0.0008812
8,95.5126,0.6903,0.92863,0.81396,0.7134,0.5646,0.55151,0.45679,0.59557,0.80547,0.81091,0.0008614,0.0008614,0.0008614
9,106.637,0.66161,0.8771,0.81278,0.78269,0.52389,0.57296,0.47894,0.57861,0.71961,0.80742,0.0008416,0.0008416,0.0008416
10,117.93,0.6304,0.83547,0.8113,0.77716,0.55979,0.59772,0.50254,0.54867,0.68277,0.80819,0.0008218,0.0008218,0.0008218
11,129.162,0.60722,0.77555,0.80573,0.78917,0.56267,0.62373,0.53256,0.51823,0.62991,0.80412,0.000802,0.000802,0.000802
12,139.474,0.60835,0.75189,0.80722,0.80417,0.5984,0.6382,0.54459,0.51199,0.60722,0.80119,0.0007822,0.0007822,0.0007822
13,150.733,0.59673,0.73978,0.80693,0.81651,0.63099,0.65047,0.5545,0.51977,0.60338,0.80064,0.0007624,0.0007624,0.0007624
14,162.015,0.56907,0.71076,0.8036,0.81194,0.63498,0.6515,0.55193,0.5155,0.58692,0.80041,0.0007426,0.0007426,0.0007426
15,173.145,0.56666,0.69744,0.80334,0.79351,0.64341,0.65075,0.5617,0.48081,0.58075,0.79889,0.0007228,0.0007228,0.0007228
16,184.411,0.56607,0.67634,0.80306,0.79435,0.64644,0.65472,0.56689,0.46434,0.55798,0.79884,0.000703,0.000703,0.000703
17,195.733,0.55931,0.65906,0.80539,0.77676,0.63878,0.64742,0.5643,0.46771,0.5602,0.79958,0.0006832,0.0006832,0.0006832
18,206.273,0.54598,0.63886,0.80031,0.83112,0.62415,0.64778,0.56948,0.46039,0.53687,0.79875,0.0006634,0.0006634,0.0006634
19,217.12,0.54514,0.63011,0.79946,0.79756,0.6299,0.65078,0.56902,0.47824,0.56492,0.79792,0.0006436,0.0006436,0.0006436
20,228.547,0.55611,0.65145,0.80179,0.80498,0.62318,0.6529,0.56608,0.47877,0.56378,0.79874,0.0006238,0.0006238,0.0006238
